iteration,rmse_t,rmse_v
0,1.304870,1.304940
1,1.086859,1.086990
2,1.036013,1.036351
3,1.025502,1.025952
4,1.040895,1.041514
5,1.009242,1.009753
6,1.000490,1.000916
7,1.007954,1.008450
8,0.994648,0.994927
9,0.993754,0.994030
10,0.995368,0.995557
11,1.001686,1.001711
12,0.997256,0.997312
13,0.995468,0.995531
14,0.998936,0.999160
15,0.995620,0.995733
16,0.993476,0.993732
17,0.996111,0.996444
18,0.990999,0.991271
19,0.990984,0.991227
20,0.998664,0.998950
21,0.995515,0.995699
22,0.990211,0.990420
23,0.993269,0.993438
24,0.991285,0.991403
25,1.002836,1.002922
26,0.989726,0.989954
27,0.998905,0.999052
28,0.991797,0.992089
29,0.997909,0.998074
30,1.004091,1.004384
31,0.995219,0.995502
32,0.994612,0.994968
33,0.990031,0.990300
34,0.990481,0.990753
35,0.990879,0.991139
36,1.018100,1.018441
37,0.989724,0.989970
38,0.993622,0.993890
39,0.993756,0.994117
40,1.000319,1.000726
41,0.989073,0.989435
42,0.989007,0.989314
43,0.989266,0.989637
44,1.011548,1.012149
45,1.001241,1.001833
46,0.989614,0.990095
47,0.989513,0.989969
48,0.989805,0.990196
49,0.990612,0.991005
50,1.007389,1.007771
51,0.989538,0.989816
52,0.987677,0.988086
53,1.016513,1.016995
54,0.989802,0.990332
55,0.989988,0.990466
56,0.988029,0.988436
57,1.006185,1.006636
58,0.988329,0.988735
59,0.990760,0.991115
60,1.005808,1.006100
61,0.988320,0.988592
62,0.991030,0.991460
63,1.002333,1.002878
64,0.989541,0.990056
65,0.994808,0.995291
66,0.991803,0.992351
67,0.989031,0.989492
68,0.988217,0.988706
69,0.988586,0.988996
70,0.991781,0.992209
71,1.006158,1.006684
72,0.988345,0.988838
73,0.988574,0.989063
74,0.988596,0.989075
75,0.987571,0.988029
76,0.991486,0.991936
77,0.987304,0.987702
78,0.989565,0.989930
79,0.989348,0.989700
80,0.986650,0.986984
81,0.990351,0.990661
82,0.987853,0.988148
83,0.997480,0.997889
84,0.993820,0.994243
85,0.987777,0.988181
86,1.006691,1.007296
87,1.005844,1.006424
88,0.995919,0.996396
89,0.994913,0.995407
90,0.992577,0.993159
91,0.989651,0.990233
92,0.992701,0.993278
93,0.990818,0.991436
94,0.992702,0.993324
95,0.988715,0.989265
96,0.987476,0.987992
97,0.991831,0.992292
98,0.989871,0.990206
99,0.988825,0.989293
100,0.990233,0.990625
101,0.989903,0.990286
102,0.987243,0.987632
103,0.993719,0.994166
104,0.993086,0.993676
105,0.995532,0.996091
106,0.989921,0.990497
107,0.989751,0.990204
108,0.991544,0.991941
109,0.987663,0.988075
110,1.000354,1.000620
111,0.992591,0.993294
112,1.015156,1.015933
113,0.997150,0.997931
114,0.994837,0.995531
115,0.988467,0.989015
116,1.003982,1.004500
117,0.990861,0.991333
118,0.986900,0.987392
119,1.012536,1.013000
120,0.989486,0.989977
121,0.988278,0.988715
122,0.996030,0.996466
123,0.987458,0.987918
124,0.986120,0.986630
125,0.991472,0.991985
126,0.989823,0.990269
127,0.988270,0.988675
128,0.990079,0.990652
129,0.989064,0.989549
130,0.989243,0.989887
131,0.995190,0.995836
132,0.987938,0.988408
133,0.988412,0.988926
134,0.990972,0.991366
135,0.988175,0.988571
136,0.994917,0.995237
137,0.995649,0.996026
138,0.992245,0.992601
139,0.989826,0.990136
140,0.985590,0.985969
141,0.989916,0.990296
142,0.989033,0.989383
143,0.993838,0.994154
144,1.003755,1.004023
145,0.986875,0.987295
146,0.991573,0.992028
147,0.985636,0.986038
148,0.987909,0.988234
149,0.997608,0.997848
150,0.991483,0.991636
151,0.998281,0.998438
152,0.987216,0.987470
153,0.990486,0.990846
154,0.990609,0.990974
155,0.989664,0.990036
156,0.987500,0.987886
157,0.989126,0.989461
158,0.989711,0.990060
159,0.989250,0.989497
160,0.987333,0.987572
161,0.986875,0.987205
162,1.007144,1.007466
163,0.985688,0.986048
164,1.004529,1.004934
165,0.995264,0.995644
166,0.996889,0.997342
167,0.988539,0.988886
168,0.988018,0.988266
169,0.986850,0.987091
170,0.998216,0.998512
171,0.986938,0.987234
172,1.000924,1.001232
173,0.987649,0.987979
174,0.989589,0.989882
175,0.985831,0.986189
176,0.988157,0.988549
177,0.987629,0.987882
178,0.985931,0.986227
179,1.006536,1.006733
180,0.992316,0.992525
181,0.992091,0.992373
182,0.988452,0.988736
183,0.988178,0.988585
184,0.988331,0.988629
185,0.989313,0.989520
186,0.988697,0.988867
187,0.988440,0.988629
188,0.987892,0.988157
189,0.989942,0.990208
190,1.011566,1.011704
191,0.988747,0.988969
192,0.987910,0.988143
193,0.986553,0.986848
194,0.991056,0.991586
195,0.997437,0.998012
196,0.992371,0.992864
197,0.987169,0.987611
198,0.987431,0.987924
199,0.990441,0.990809
